"X","Creditability","Account.Balance","Duration.of.Credit..month.","Payment.Status.of.Previous.Credit","Purpose","Credit.Amount","Value.Savings.Stocks","Length.of.current.employment","Instalment.per.cent","Sex...Marital.Status","Guarantors","Duration.in.Current.address","Most.valuable.available.asset","Age..years.","Concurrent.Credits","Type.of.apartment","No.of.Credits.at.this.Bank","Occupation","No.of.dependents","Telephone"
484,1,3,12,3,2,5801,4,4,2,2,1,4,2,49,2,1,1,2,1,2
486,1,3,12,3,4,1185,1,2,3,1,1,2,1,27,2,2,2,2,1,1
490,1,3,12,2,4,3527,4,1,2,2,1,3,2,45,2,2,1,2,2,2
492,1,3,12,3,2,3331,1,4,2,2,1,4,2,42,1,2,1,2,1,1
496,1,3,24,2,3,1311,2,3,4,3,1,3,2,26,2,2,1,2,1,2
498,1,3,24,3,1,4042,4,3,3,2,1,4,2,43,2,2,2,2,1,2
499,1,3,12,3,4,926,1,1,1,1,1,2,2,38,2,2,1,1,1,1
501,1,3,24,2,4,1249,1,1,4,3,1,2,1,28,2,2,1,2,1,1
503,1,3,6,2,3,1595,1,3,3,2,1,2,2,51,2,2,1,2,2,1
504,1,3,24,3,3,2058,1,2,4,1,1,2,1,33,2,2,2,2,1,2
506,1,3,6,3,3,1740,1,4,2,3,1,2,1,30,2,1,2,2,1,1
508,1,3,24,3,1,6842,4,2,2,2,1,4,2,46,2,2,2,2,2,2
510,1,1,6,2,4,1203,2,4,3,2,1,2,2,43,2,2,1,2,1,2
514,1,2,30,2,2,3832,1,1,2,3,1,1,2,22,2,2,1,2,1,1
519,0,3,24,2,3,5943,4,1,1,1,1,1,3,44,2,2,2,2,1,2
525,1,2,12,3,1,1860,1,1,4,2,1,2,3,34,2,2,2,2,1,2
526,1,3,36,3,3,9566,1,2,2,1,1,2,3,31,1,2,2,2,1,1
528,1,2,12,2,3,2930,1,3,2,1,1,1,1,27,2,2,1,2,1,1
529,1,3,18,2,3,1505,1,2,4,2,1,2,4,32,2,3,1,2,1,2
532,1,3,24,3,1,2197,4,3,4,2,1,4,3,43,2,2,2,2,2,2
534,1,1,18,3,3,1880,1,3,4,3,1,1,2,32,2,2,2,2,1,2
536,1,2,24,2,3,1967,1,4,4,1,1,4,3,20,2,2,1,2,1,2
540,1,2,18,1,2,3244,1,2,1,1,1,4,3,33,1,2,2,2,1,2
541,0,2,9,2,3,1670,1,1,4,1,1,2,3,22,2,2,1,2,1,2
542,1,2,48,2,3,3979,4,3,4,2,1,1,3,41,2,2,2,2,2,2
549,1,2,12,2,4,1007,3,2,4,3,1,1,1,22,2,2,1,2,1,1
553,1,3,12,2,4,1101,1,2,3,3,1,2,1,27,2,2,2,2,1,2
560,1,2,14,2,4,1410,3,4,1,3,1,2,1,35,2,2,1,2,1,2
561,1,3,20,3,4,3485,4,1,2,1,1,4,1,44,2,2,2,2,1,2
563,0,2,60,2,4,7408,2,1,4,1,1,2,2,24,2,2,1,2,1,1
564,1,3,24,2,3,1377,2,4,4,1,1,2,4,47,2,3,1,2,1,2
569,1,3,12,3,2,1935,1,4,4,2,1,4,1,43,2,2,2,2,1,2
572,1,3,36,2,3,9055,4,2,2,2,1,4,4,35,2,3,1,1,2,2
573,1,2,26,2,1,7966,1,1,2,2,1,3,3,30,2,2,2,2,1,1
574,1,2,30,1,2,3496,3,2,4,2,1,2,3,34,1,2,1,2,2,2
575,1,2,36,2,1,6948,1,2,2,2,1,2,3,35,2,1,1,2,1,2
576,1,2,48,1,4,12204,4,2,2,2,1,2,3,48,1,2,1,2,1,2
577,0,1,36,2,2,3446,1,4,4,2,1,2,3,42,2,2,1,2,2,1
580,0,1,42,2,3,7174,4,3,4,1,1,3,3,30,2,2,1,2,1,2
581,0,1,24,1,3,1546,1,3,4,2,2,4,3,24,1,1,1,1,1,1
583,0,3,24,2,3,3621,2,4,2,2,1,4,3,31,2,2,2,2,1,1
585,0,1,12,2,2,7865,1,4,4,2,1,4,4,53,2,3,1,2,1,2
587,1,1,18,3,4,5302,1,4,2,2,1,4,4,36,2,3,2,2,1,2
588,1,1,36,2,2,3620,1,2,1,2,2,2,2,37,2,2,1,2,2,1
589,1,1,18,2,3,3509,1,3,4,1,2,1,1,25,2,2,1,2,1,1
590,1,2,12,2,2,3017,1,1,3,1,1,1,1,34,2,1,1,2,1,1
591,1,1,12,2,2,1657,1,2,2,2,1,2,1,27,2,2,1,2,1,1
595,1,1,30,1,2,4583,1,2,2,1,2,2,1,32,2,2,2,2,1,1
596,1,1,36,3,2,5371,1,2,3,2,2,2,2,28,2,2,2,2,1,1
598,1,1,21,3,4,571,1,4,4,2,1,4,1,65,2,2,2,2,1,1
600,0,1,36,2,2,5179,1,3,4,2,1,2,2,29,2,2,1,2,1,1
601,0,1,36,2,1,8229,1,2,2,2,1,2,2,26,2,2,1,2,2,1
603,1,1,6,2,4,1374,4,1,4,1,1,3,2,75,2,2,1,2,1,2
607,1,2,6,3,2,1050,1,1,4,2,1,1,2,35,1,2,2,2,1,2
609,1,1,48,2,1,4788,1,3,4,2,1,3,2,26,2,2,1,2,2,1
611,0,2,12,2,4,836,2,1,4,1,1,2,2,23,1,2,1,1,1,1
612,1,1,12,2,2,2577,1,2,2,1,1,1,3,42,2,2,1,2,1,1
614,1,1,15,2,2,1845,1,1,4,1,2,1,2,46,2,1,1,2,1,1
615,1,1,24,2,1,6579,1,1,4,2,1,2,4,29,2,3,1,2,1,2
617,1,1,30,3,1,10623,1,4,3,2,1,4,4,38,2,3,2,2,2,2
619,0,1,30,2,2,3108,1,1,2,1,1,4,2,31,2,2,1,1,1,1
620,1,2,12,3,4,958,1,3,2,2,1,3,1,47,2,2,2,1,2,1
622,1,3,24,3,4,6314,1,1,4,2,2,2,4,27,1,2,2,2,1,2
625,1,1,24,3,1,6615,1,1,2,2,1,4,4,75,2,3,2,2,1,2
628,1,3,18,3,3,1582,3,4,4,2,1,4,3,46,2,2,2,2,1,1
629,1,3,6,2,4,1238,4,1,4,2,1,4,2,36,2,2,1,2,2,2
631,1,1,15,3,2,1433,1,2,4,1,1,3,2,25,2,1,2,2,1,1
632,1,1,42,2,2,7882,1,3,2,2,2,4,2,45,2,3,1,2,2,1
634,1,1,36,2,2,3959,1,1,4,2,1,3,2,30,2,2,1,2,1,2
635,1,1,36,2,4,3249,1,3,2,2,1,4,4,39,1,3,1,2,2,2
636,1,1,24,2,2,3149,1,1,4,2,1,1,4,22,1,3,1,2,1,1
637,0,1,12,3,2,2246,1,4,3,2,1,3,2,60,2,2,2,2,1,1
638,1,1,13,3,4,1797,1,1,3,2,1,1,2,28,1,2,2,1,1,1
640,1,1,24,3,1,2957,1,4,4,2,1,4,2,63,2,2,2,2,1,2
641,1,1,36,3,2,2348,1,2,3,3,1,2,2,46,2,2,2,2,1,2
643,1,1,24,3,1,6419,1,4,2,1,1,4,4,44,2,3,2,2,2,2
646,1,1,36,2,4,15857,1,1,2,1,2,3,3,43,2,2,1,2,1,1
649,1,2,30,3,4,2503,2,4,4,2,1,2,2,41,1,2,2,2,1,1
652,1,2,6,2,3,368,4,4,4,2,1,4,2,38,2,2,1,2,1,1
655,1,2,48,3,4,6681,4,2,4,2,1,4,4,38,2,3,1,2,2,2
658,1,2,6,2,3,753,1,2,2,1,2,3,1,64,2,2,1,2,1,1
662,1,2,12,2,3,1103,1,3,4,2,2,3,1,29,2,2,2,2,1,1
664,1,2,6,2,3,1068,1,4,4,2,1,4,3,28,2,2,1,2,2,1
665,1,1,8,3,4,713,1,4,4,2,1,4,1,47,2,2,2,1,1,1
666,1,2,12,2,3,1092,1,2,4,1,2,4,1,49,2,2,2,2,1,2
667,1,2,7,2,3,2329,1,1,1,1,2,1,1,45,2,2,1,2,1,1
669,1,2,18,2,3,866,1,2,4,3,2,2,1,25,2,2,1,1,1,1
670,1,2,7,2,3,2415,1,2,3,2,2,2,1,34,2,2,1,2,1,1
671,1,2,13,2,3,2101,1,1,2,1,2,4,2,23,2,2,1,1,1,1
673,1,2,18,2,3,1113,1,2,4,1,2,4,1,26,2,2,1,1,2,1
675,1,2,12,2,3,625,1,1,4,3,2,1,1,26,1,2,1,1,1,1
680,1,2,6,2,3,484,1,3,3,3,2,3,1,28,1,2,1,1,1,1
681,1,2,10,1,3,1048,1,2,4,2,1,4,1,23,1,2,1,1,1,1
685,1,1,12,2,3,2214,1,2,4,2,1,3,2,24,2,2,1,1,1,1
686,1,3,24,3,2,1585,1,3,4,2,1,3,2,40,2,2,2,2,1,1
687,1,2,10,2,2,1521,1,2,4,1,1,2,3,31,2,2,1,1,1,1
688,1,2,36,1,3,3990,4,1,3,1,1,2,4,29,1,2,1,1,1,1
689,1,3,18,2,2,3049,1,1,1,1,1,1,2,45,1,2,1,1,1,1
691,1,3,60,2,3,10144,2,3,2,1,1,4,1,21,2,2,1,2,1,2
692,1,1,12,2,4,1168,1,2,4,3,1,3,1,27,2,2,1,1,1,1
693,1,2,6,2,3,454,1,1,3,3,1,1,2,22,2,2,1,1,1,1
695,1,3,12,2,2,1768,1,2,3,2,1,2,1,24,2,1,1,1,1,1
696,1,3,60,3,3,15653,1,3,2,2,1,4,3,21,2,2,2,2,1,2
697,1,3,12,3,4,2247,1,2,2,1,1,2,3,36,1,2,2,2,1,2
700,1,1,24,3,3,1231,3,4,4,1,1,4,2,57,2,1,2,2,1,2
701,0,1,36,2,1,8335,4,4,3,2,1,4,4,47,2,3,1,2,1,1
705,1,1,6,3,3,1169,4,4,4,2,1,4,1,67,2,2,2,2,1,2
709,0,1,48,1,4,7685,1,3,2,1,2,4,3,37,2,1,1,2,1,1
710,1,3,48,3,3,6110,1,2,1,2,1,3,4,31,1,3,1,2,1,2
711,1,3,24,2,4,3757,1,4,4,1,2,4,4,62,2,3,1,2,1,2
712,1,1,42,3,3,3394,1,1,4,2,2,4,3,65,2,2,2,1,1,1
713,1,3,36,3,4,6304,4,4,4,2,1,4,1,36,2,2,2,2,1,1
714,1,3,9,3,3,1244,4,4,4,1,1,4,2,41,2,1,2,1,1,1
716,1,3,36,1,3,2613,1,2,4,2,1,2,3,27,2,2,2,2,1,1
723,1,3,21,3,1,2993,1,2,3,2,1,2,1,28,1,2,2,1,1,1
724,1,3,36,3,1,8947,4,3,3,2,1,2,3,31,1,2,1,2,2,2
725,1,1,24,2,2,4020,1,2,2,2,1,2,3,27,1,2,1,2,1,1
728,1,3,12,2,4,1884,1,4,4,2,1,4,3,39,2,2,1,2,1,2
729,1,3,36,3,1,11054,4,2,4,2,1,2,3,30,2,2,1,2,1,2
730,1,2,60,3,3,9157,4,2,2,2,1,2,4,27,2,3,1,2,1,1
731,1,2,42,1,1,9283,1,1,1,2,1,2,4,55,1,3,1,2,1,2
740,1,2,20,1,1,6148,2,4,3,3,1,4,3,31,1,2,2,2,1,2
741,1,3,12,2,2,1736,1,3,3,1,1,4,1,31,2,2,1,1,1,1
743,0,1,24,2,2,2996,4,2,2,3,1,4,3,20,2,2,1,2,1,1
744,1,3,30,3,1,7596,4,4,1,2,1,4,3,63,2,2,2,2,1,1
747,1,2,24,2,1,2760,4,4,4,2,1,4,4,36,1,3,1,2,1,2
749,1,2,9,2,3,1199,1,3,4,1,1,4,2,67,2,2,2,2,1,2
750,1,3,24,2,2,2892,1,4,3,1,1,4,4,51,2,3,1,2,1,1
754,0,2,24,2,1,4113,3,1,3,1,1,4,3,28,2,1,1,2,1,1
755,0,2,6,2,4,14555,4,1,1,2,1,2,2,23,2,2,1,1,1,2
757,0,1,24,3,4,1199,1,4,4,2,1,4,3,60,2,2,2,1,1,1
758,0,1,12,1,4,1082,1,2,4,2,1,4,3,48,1,2,2,2,1,1
761,0,2,48,2,3,3060,1,3,4,2,1,4,1,28,2,2,2,2,1,1
762,0,1,18,2,3,2600,1,2,4,2,1,4,4,65,2,3,2,2,1,1
765,0,3,24,3,4,2538,1,4,4,2,1,4,3,47,2,2,2,1,2,1
769,0,2,9,1,4,1437,2,3,2,2,1,3,4,29,2,2,1,2,1,1
771,0,1,24,2,3,1823,1,1,4,2,1,2,3,30,1,2,1,2,2,1
773,0,1,18,2,3,1217,1,2,4,3,1,3,1,47,2,2,1,1,1,2
775,0,1,36,3,4,2145,1,3,2,2,1,1,3,24,2,2,2,2,1,2
779,0,2,18,3,3,1245,1,2,4,3,1,2,3,33,2,2,1,2,1,1
782,0,1,24,3,3,1024,1,1,4,3,1,4,1,48,1,2,1,2,1,1
784,0,2,6,1,3,433,3,1,4,1,1,2,2,24,1,1,1,2,2,1
787,0,2,6,1,4,931,2,1,1,1,1,1,2,32,1,2,1,1,1,1
789,0,2,24,1,4,4241,1,2,1,2,1,4,1,36,2,2,2,1,1,2
790,0,2,24,3,2,4736,1,1,2,1,1,4,3,25,1,2,1,1,1,1
791,0,2,15,1,4,1778,1,1,2,1,1,1,1,26,2,1,2,1,1,1
793,0,1,24,1,2,6872,1,1,2,1,1,1,2,55,1,2,1,2,1,2
796,0,2,36,1,4,1953,1,4,4,2,1,4,4,61,2,3,1,2,1,2
797,0,3,18,2,2,2864,1,2,2,2,1,1,1,34,2,2,1,1,2,1
807,0,2,18,1,4,2278,2,1,3,1,1,3,3,28,2,2,2,2,1,1
808,0,1,60,3,4,6836,1,4,3,2,1,4,4,63,2,2,2,2,1,2
809,0,1,24,2,2,3345,1,4,4,2,1,2,2,39,2,1,1,2,1,2
810,0,1,6,1,3,1198,1,4,4,1,1,4,4,35,2,3,1,2,1,1
811,0,2,48,2,4,15672,1,2,2,2,1,2,3,23,2,2,1,2,1,2
813,0,3,18,2,3,1943,1,1,4,1,1,4,1,23,2,2,1,2,1,1
815,0,2,9,1,1,5129,1,4,2,1,1,4,4,74,1,3,1,2,2,2
817,0,3,10,2,4,1240,2,4,1,1,1,4,4,48,2,3,1,1,2,1
818,0,1,12,2,4,759,1,3,4,2,1,2,1,26,2,2,1,2,1,1
825,0,1,24,3,3,1659,1,1,4,1,1,2,3,29,2,1,1,1,1,2
826,0,2,6,3,4,1209,1,1,4,2,1,4,2,47,2,2,1,2,1,2
829,0,2,12,2,3,639,1,2,4,2,1,2,3,30,2,2,1,2,1,1
832,0,3,36,3,3,4463,1,2,4,2,1,2,3,26,2,2,2,2,1,2
836,0,2,24,2,1,11560,1,2,1,1,1,4,3,23,2,1,2,2,1,1
837,0,3,18,1,4,4165,1,2,2,2,1,2,3,36,1,2,2,2,2,1
838,0,2,24,2,2,4057,1,3,3,1,1,3,3,43,2,2,1,2,1,2
843,0,3,12,2,2,1123,3,2,4,1,1,4,3,29,2,1,1,1,1,1
844,0,2,24,2,4,11328,1,2,2,2,2,3,3,29,1,2,2,2,1,2
845,0,2,24,3,4,11938,1,2,2,2,2,3,3,39,2,2,2,2,2,2
847,0,2,30,3,3,1919,2,1,4,2,1,3,4,30,1,2,2,2,1,1
848,0,2,60,1,4,14782,2,4,3,1,1,4,4,60,1,3,2,2,1,2
849,0,2,36,2,3,2671,2,2,4,1,2,4,4,50,2,3,1,2,1,1
850,0,2,36,2,3,12612,2,2,1,2,1,4,4,47,2,3,1,2,2,2
852,0,1,12,1,3,626,1,2,4,1,1,4,1,24,1,2,1,1,1,1
854,0,3,24,3,4,1344,4,3,4,2,1,2,1,37,1,2,2,1,2,1
857,0,1,24,1,2,3349,3,1,4,2,1,4,4,30,2,3,1,2,2,2
858,0,1,36,2,3,2302,1,2,4,1,1,4,3,31,2,1,1,2,1,1
859,0,1,42,2,3,3965,1,1,4,2,1,3,3,34,2,2,1,2,1,1
861,0,3,48,2,4,3914,4,2,4,1,1,2,1,38,1,2,1,2,1,1
864,0,3,18,3,4,2775,1,3,2,2,1,2,2,31,1,2,2,2,1,1
865,0,1,40,3,3,5998,1,2,4,2,1,3,4,27,1,2,1,2,1,2
866,0,3,15,3,3,1271,4,2,3,2,1,4,4,39,2,3,2,2,1,2
867,0,2,12,2,4,1295,1,1,3,1,1,1,3,25,2,1,1,2,1,1
868,0,2,36,2,1,9398,1,1,1,3,1,4,3,28,2,1,1,2,1,2
870,0,2,24,2,4,1355,1,1,3,1,1,4,3,25,2,2,1,1,1,2
871,0,1,48,2,3,3051,1,2,3,2,1,4,3,54,2,2,1,2,1,1
873,0,3,18,2,3,433,1,1,3,1,2,4,1,22,2,1,1,2,1,1
876,0,2,30,3,4,4249,1,1,4,3,1,2,3,28,2,2,2,2,1,1
879,0,1,9,2,3,1366,1,1,3,1,1,4,2,22,2,1,1,2,1,1
880,0,1,24,1,4,1358,4,4,4,2,1,3,3,40,1,2,1,2,1,2
883,0,1,48,2,4,7763,1,4,4,2,1,4,4,42,1,3,1,2,1,1
884,0,2,15,1,4,1264,2,2,2,3,1,2,2,25,2,1,1,2,1,1
887,0,1,24,2,4,3123,1,1,4,1,1,1,2,27,2,2,1,2,1,1
891,0,2,60,2,4,14027,1,3,4,2,1,2,4,27,2,2,1,2,1,2
892,0,1,36,3,1,9629,1,3,4,2,1,4,3,24,2,2,2,2,1,2
893,0,2,12,2,3,1484,4,2,2,3,1,1,1,25,2,2,1,2,1,2
894,0,1,18,2,2,1131,1,1,4,1,1,2,3,33,2,2,1,2,1,1
895,0,2,24,3,2,2064,1,1,3,1,1,2,2,34,2,2,1,2,1,2
897,0,3,21,3,4,2580,3,1,4,2,1,2,1,41,1,2,1,1,2,1
899,0,2,27,2,4,3915,1,2,4,2,1,2,3,36,2,2,1,2,2,2
900,0,3,10,2,4,1309,4,2,4,2,2,4,2,27,2,2,1,1,1,1
901,0,1,24,2,4,4817,1,3,2,2,2,3,2,31,2,2,1,2,1,2
905,0,1,18,1,2,3114,1,1,1,1,1,4,2,26,2,1,1,2,1,1
906,0,1,18,3,2,2124,1,2,4,1,1,4,1,24,2,1,2,2,1,1
909,0,1,24,3,4,1333,1,1,4,2,1,2,1,43,2,3,2,2,2,1
911,0,1,24,3,4,4870,1,2,3,2,1,4,4,53,2,3,2,2,2,1
912,0,1,12,3,4,691,1,4,4,2,1,3,2,35,2,2,2,2,1,1
913,0,1,42,3,3,4370,1,3,3,2,1,2,2,26,1,2,2,2,2,2
915,0,1,24,1,2,4110,1,4,3,2,1,4,4,23,1,1,2,2,2,1
918,0,2,12,1,2,2969,1,1,4,1,1,3,2,25,2,1,2,2,1,1
919,0,1,48,1,1,4605,1,4,3,2,1,4,4,24,2,3,2,2,2,1
921,0,1,24,1,2,3552,1,3,3,2,1,4,3,27,1,2,1,2,1,1
924,0,1,27,1,4,5293,1,1,2,2,1,4,2,50,2,2,2,2,1,2
929,0,1,48,2,1,10297,1,3,4,2,1,4,4,39,2,3,2,2,2,2
932,0,1,12,2,4,1274,1,1,3,1,1,1,1,37,1,2,1,1,1,1
934,0,1,12,2,4,1372,1,3,2,1,1,3,3,36,2,2,1,2,1,1
936,0,1,20,3,4,2235,1,2,4,3,2,2,2,33,1,1,2,2,1,1
937,0,2,9,2,2,959,1,2,1,1,1,2,3,29,1,2,1,2,1,1
939,0,2,24,2,4,1246,1,1,4,2,1,2,1,23,1,2,1,1,1,1
941,0,3,48,3,4,10127,3,2,2,2,1,2,4,44,2,3,1,2,1,1
942,0,2,12,2,4,888,1,4,4,2,1,4,3,41,1,2,1,1,2,1
943,0,3,12,2,3,719,1,4,4,2,1,4,3,41,1,2,1,1,2,1
944,0,2,36,2,4,12389,4,2,1,2,1,4,4,37,1,3,1,2,1,2
946,0,2,15,1,4,6850,2,1,1,2,1,2,2,34,1,2,1,2,2,2
947,0,3,10,2,2,2210,1,2,2,2,1,2,1,25,2,1,1,1,1,1
952,0,3,12,3,4,939,3,3,4,3,1,2,1,28,2,2,2,2,1,2
953,0,2,21,2,4,1188,1,4,2,1,1,4,2,39,2,2,1,2,2,1
954,0,3,48,3,1,11590,2,2,2,1,1,4,3,24,2,1,2,1,1,1
956,0,1,18,3,3,1190,1,1,2,1,1,4,4,55,2,3,2,1,2,1
957,0,2,21,2,4,2767,2,4,4,1,1,2,3,61,2,1,2,1,1,1
958,0,2,30,2,2,3441,2,2,2,1,2,4,3,21,1,1,1,2,1,1
959,0,2,30,1,4,4280,2,2,4,1,1,4,3,26,2,1,2,1,1,1
962,0,2,12,2,3,1331,1,1,2,2,1,1,3,22,2,2,1,2,1,1
963,0,2,54,1,4,15945,1,1,3,2,1,4,4,58,2,1,1,2,1,2
964,0,1,24,2,2,3234,1,1,4,1,1,4,1,23,2,1,1,1,1,2
965,0,2,15,2,3,802,1,4,4,2,1,3,3,37,2,2,1,2,2,1
967,0,3,24,3,4,8648,1,1,2,2,1,2,3,27,1,2,2,2,1,2
968,0,1,18,2,3,1345,1,2,4,3,1,3,1,26,2,2,1,2,1,1
969,0,1,45,2,3,1845,1,2,4,2,1,4,4,23,2,3,1,2,1,2
970,0,1,21,1,4,1647,4,2,4,2,1,2,2,40,1,2,2,1,2,1
972,0,2,27,1,4,8318,1,4,2,1,1,4,4,42,1,3,2,2,1,2
974,0,1,45,1,4,11816,1,4,2,2,1,4,3,29,2,1,2,2,1,1
975,0,1,6,2,3,448,1,1,4,1,1,4,2,23,2,2,1,2,1,1
979,0,2,12,2,2,2762,4,4,1,1,1,2,2,25,2,2,1,2,1,2
981,0,2,24,2,3,2039,1,1,1,3,1,1,2,22,2,2,1,2,1,2
986,0,3,12,3,4,2292,1,1,4,2,1,2,3,42,1,2,2,2,1,2
987,0,1,14,2,4,8978,1,4,1,1,1,4,2,45,2,2,1,2,1,2
989,0,1,18,2,4,976,1,1,1,1,1,2,3,23,2,2,1,1,1,1
990,0,2,24,2,4,2718,1,2,3,1,1,4,2,20,2,1,1,1,1,2
991,0,1,18,2,3,750,1,1,4,1,1,1,1,27,2,2,1,1,1,1
994,0,1,18,3,4,3966,1,4,1,1,1,4,1,33,1,1,2,2,1,2
995,0,1,12,1,3,6199,1,2,4,2,1,2,2,28,2,1,2,2,1,2
996,0,1,24,2,3,1987,1,2,2,2,1,4,1,21,2,1,1,1,2,1
998,0,3,21,3,4,12680,4,4,4,2,1,4,4,30,2,3,1,2,1,2
1000,0,1,30,2,2,6350,4,4,4,2,1,4,2,31,2,2,1,2,1,1
